# E          s-dos       p-dos       d-dos       f-dos
-3.0000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.9000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.8000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.7000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.6000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.5000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.4000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.3000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.2000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.1000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.9900e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.9800e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.9700e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.9600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.9500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.9400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
